"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"KLF6",7.41596822853573e-20,-0.788669799492945,0.835,0.834,1.01509773112197e-15,"KLF6"
"EXOSC3",7.84657571145175e-20,0.819990214617447,0.487,0.055,1.07403928338352e-15,"EXOSC3"
"HINT2",7.9553322952671e-20,0.860904519871381,0.496,0.059,1.08892588457616e-15,"HINT2"
"KEAP1",8.11635801259534e-20,0.763163805733298,0.522,0.071,1.11096708476405e-15,"KEAP1"
"TUFM",8.54426000604525e-20,0.887476361531631,0.817,0.182,1.16953830962747e-15,"TUFM"
"DYNC2I2",8.57690356455274e-20,0.883828614786027,0.33,0.008,1.17400655991598e-15,"DYNC2I2"
"TMEM192",9.52838430010966e-20,-0.862786741712795,0.8,0.81,1.30424524299901e-15,"TMEM192"
"SDF2L1",9.66973739833047e-20,0.876832166789165,0.522,0.067,1.32359365508347e-15,"SDF2L1"
"DCXR",1.0367482070528e-19,0.846801847777054,0.652,0.115,1.41910094581387e-15,"DCXR"
"RBM43",1.05384232930147e-19,-0.812148595730891,0.835,0.826,1.44249938034786e-15,"RBM43"
"STIP1",1.10239471546581e-19,0.78699082762291,0.704,0.142,1.5089578865296e-15,"STIP1"
"POLE",1.12153763309506e-19,0.578035403982345,0.47,0.055,1.53516071218051e-15,"POLE"
"NUF2",1.13417885378621e-19,0.868760017703402,0.365,0.02,1.55246401506256e-15,"NUF2"
"EMC1",1.22807914979282e-19,-0.771969205750845,0.878,0.846,1.68099474023642e-15,"EMC1"
"PHPT1",1.23330818032203e-19,0.770559910720551,0.635,0.115,1.6881522372248e-15,"PHPT1"
"WDR62",1.2438381093879e-19,0.635587727653729,0.322,0.008,1.70256560413016e-15,"WDR62"
"MRPL47",1.33712428566833e-19,0.831093882698772,0.496,0.059,1.83025572222281e-15,"MRPL47"
"HPRT1",1.35775029635558e-19,0.871113382209115,0.548,0.079,1.85848860565152e-15,"HPRT1"
"CDCA8",1.40363825743584e-19,0.816612142655681,0.339,0.012,1.92130004677818e-15,"CDCA8"
"BCL2L15",1.46511429268921e-19,-0.880625795444581,0.8,0.806,2.00544844383299e-15,"BCL2L15"
"ZNF621",1.49531921856148e-19,-0.703267397432911,0.896,0.889,2.04679294636695e-15,"ZNF621"
"PSME3",1.55780175736594e-19,0.742634693977102,0.6,0.103,2.1323190454825e-15,"PSME3"
"TRMT2B",1.56103659883167e-19,-0.803486359552547,0.835,0.838,2.13674689648078e-15,"TRMT2B"
"LSM3",1.58972303875307e-19,0.859396576567055,0.687,0.13,2.17601289544521e-15,"LSM3"
"PFKL",1.61085841971033e-19,0.759594843171598,0.687,0.142,2.2049430048995e-15,"PFKL"
"TWF2",1.72109663782615e-19,0.825960500046277,0.713,0.138,2.35583707785643e-15,"TWF2"
"POP4",1.75047899565431e-19,0.727813027131499,0.487,0.059,2.39605564925162e-15,"POP4"
"MPDU1",1.7619110884643e-19,0.788926910375299,0.417,0.036,2.41170389788993e-15,"MPDU1"
"SLX1A",1.87488876671011e-19,0.793621269012347,0.722,0.154,2.56634774387279e-15,"SLX1A"
"SLX1B",1.87488876671011e-19,0.793621269012347,0.722,0.154,2.56634774387279e-15,"SLX1B"
"APAF1",1.8848762199475e-19,-0.828860920968602,0.774,0.846,2.58001856986414e-15,"APAF1"
"CXorf38",2.13346469484836e-19,-0.773372052197525,0.826,0.85,2.92028647430843e-15,"CXorf38"
"ZCRB1",2.27995985746162e-19,0.702481969291737,0.583,0.091,3.12080905289346e-15,"ZCRB1"
"APOL1",2.32175676832052e-19,-0.763454586111321,0.835,0.822,3.17802066447713e-15,"APOL1"
"C16orf87",2.43367159057521e-19,0.835008822910276,0.435,0.043,3.33120967317934e-15,"C16orf87"
"SP100",2.49221666458805e-19,-0.522562292372057,0.974,0.98,3.41134617048813e-15,"SP100"
"ZMPSTE24",2.58514305628375e-19,0.766630466270574,0.452,0.051,3.5385438154412e-15,"ZMPSTE24"
"PLAC8",2.62540121519235e-19,-0.920466349102549,0.739,0.794,3.59364918335529e-15,"PLAC8"
"OCLN",2.64291168972381e-19,-0.863011453530773,0.817,0.826,3.61761752089395e-15,"OCLN"
"NUDCD2",2.76872483366698e-19,0.778526563733416,0.513,0.067,3.78983055232336e-15,"NUDCD2"
"TMEM120B",2.85809649298305e-19,-0.679326033472804,0.93,0.85,3.9121624795952e-15,"TMEM120B"
"PNP",3.25760810341229e-19,0.726127536563514,0.461,0.051,4.45901397195074e-15,"PNP"
"POLD1",3.32479770072151e-19,0.746424148644724,0.409,0.036,4.5509830927476e-15,"POLD1"
"LSM1",3.32863102631674e-19,0.813781529646356,0.487,0.059,4.55623014882236e-15,"LSM1"
"MAGOH",3.41180251579904e-19,0.811994108318535,0.626,0.111,4.67007528362573e-15,"MAGOH"
"OXCT1",3.46110500430116e-19,0.724019234731894,0.687,0.15,4.73756052988743e-15,"OXCT1"
"CLEC7A",3.54396247869572e-19,-0.798758210919388,0.783,0.798,4.8509758408387e-15,"CLEC7A"
"KIF20A",3.60166420139463e-19,0.748696204493277,0.304,0.004,4.92995795886897e-15,"KIF20A"
"FN3KRP",3.6531698682949e-19,0.788376756669517,0.461,0.051,5.00045891572205e-15,"FN3KRP"
"NDUFA12",3.65642703433701e-19,0.840232960770958,0.704,0.134,5.0049173246005e-15,"NDUFA12"
"POLR3K",3.77245029917202e-19,0.848118248025424,0.487,0.059,5.16372996950666e-15,"POLR3K"
"DDX11",3.7753546619597e-19,0.647152647065905,0.496,0.067,5.16770546129044e-15,"DDX11"
"GOLGA2",3.80067493841494e-19,-0.814721717970823,0.8,0.826,5.20236385570237e-15,"GOLGA2"
"DCPS",4.27225963147324e-19,0.816616906705676,0.426,0.04,5.84786898356057e-15,"DCPS"
"MTPAP",4.32727681330846e-19,-0.624303591731816,0.939,0.925,5.92317650205662e-15,"MTPAP"
"TMEM41B",4.50759968216612e-19,-0.643873960135551,0.904,0.87,6.17000244494899e-15,"TMEM41B"
"MYL6B",4.55392371473076e-19,0.866543274817023,0.417,0.04,6.23341078072347e-15,"MYL6B"
"PFN1",4.55454508039004e-19,-0.320892373877222,1,0.862,6.23426130603789e-15,"PFN1"
"SAR1B",4.55924359365301e-19,-0.655686264582461,0.904,0.921,6.24069263099223e-15,"SAR1B"
"WDR92",4.59428631547491e-19,-0.71620660916955,0.87,0.806,6.28865910862205e-15,"WDR92"
"BARD1",4.59859324903475e-19,0.788326764445805,0.478,0.059,6.29455443927877e-15,"BARD1"
"SNIP1",4.73288061208872e-19,-0.739634506812457,0.904,0.834,6.47836698182704e-15,"SNIP1"
"ZNF674",4.83850735609537e-19,-0.912377095905098,0.739,0.787,6.62294886902335e-15,"ZNF674"
"PRDX5",5.0754796374833e-19,0.863972188943267,0.826,0.186,6.94731652778714e-15,"PRDX5"
"KIF23",5.38306581486418e-19,0.772541517995958,0.287,0,7.36834048738609e-15,"KIF23"
"EBP",5.39542396718295e-19,0.814241781505943,0.643,0.123,7.38525632628002e-15,"EBP"
"ME2",5.44321626788072e-19,-0.697589616214321,0.878,0.862,7.45067442747513e-15,"ME2"
"TRMT9B",5.45772577098388e-19,-0.808637252678651,0.748,0.814,7.47053503532274e-15,"TRMT9B"
"UBE2N",5.48133522078111e-19,0.728518397018496,0.861,0.213,7.50285165020519e-15,"UBE2N"
"PSMB5",5.51127454644255e-19,0.877429334694309,0.478,0.059,7.54383259917056e-15,"PSMB5"
"MRPS23",5.55180204993434e-19,0.804299419331714,0.443,0.047,7.59930664595013e-15,"MRPS23"
"EEF2",5.71823749349315e-19,-0.494244713940557,0.974,0.826,7.82712348109343e-15,"EEF2"
"EIF4EBP1",5.91359153500226e-19,0.877507970841271,0.374,0.024,8.09452409311109e-15,"EIF4EBP1"
"CHMP1B",6.12498742899147e-19,-0.696606875328654,0.878,0.858,8.38388279280353e-15,"CHMP1B"
"CIAO2A",6.13337905053612e-19,0.832740624451062,0.548,0.083,8.39536924437384e-15,"CIAO2A"
"MSH6",6.32062316658191e-19,0.727457304886554,0.6,0.115,8.65166899041732e-15,"MSH6"
"SLC25A34",6.79880187859702e-19,-0.858141923784536,0.783,0.791,9.30620001142361e-15,"SLC25A34"
"CIT",6.85439700264294e-19,0.527831216126839,0.391,0.032,9.38229861721765e-15,"CIT"
"ECHS1",6.92616161940615e-19,0.822579396103134,0.565,0.091,9.48053002464313e-15,"ECHS1"
"ELAPOR1",7.01558904780073e-19,-0.74373057820106,0.843,0.858,9.60293828862964e-15,"ELAPOR1"
"PHGDH",7.34709782837693e-19,0.857670065725631,0.313,0.008,1.00567075074823e-14,"PHGDH"
"VBP1",7.47165704088938e-19,0.75193394776725,0.557,0.087,1.02272041575694e-14,"VBP1"
"PPIA",7.78446585761319e-19,-0.366491287802411,1,0.901,1.06553768659009e-14,"PPIA"
"HDGF",7.83666431460112e-19,0.557309656968534,0.496,0.063,1.0726826113826e-14,"HDGF"
"ARL6IP6",7.89077000003853e-19,0.658295756307559,0.522,0.075,1.08008859760527e-14,"ARL6IP6"
"MRPL11",7.9948014503654e-19,0.798651376817193,0.53,0.079,1.09432842252602e-14,"MRPL11"
"BORCS7",8.07332294286618e-19,-0.753589569957796,0.826,0.81,1.10507644441952e-14,"BORCS7"
"BTG1",8.58030552871773e-19,-0.86912044006969,0.878,0.802,1.17447222077088e-14,"BTG1"
"NUBP1",8.64042328344661e-19,0.772298550960276,0.383,0.028,1.18270113903817e-14,"NUBP1"
"USP39",8.6769319461421e-19,0.653873749611284,0.6,0.103,1.18769844478793e-14,"USP39"
"ATIC",8.94903957192624e-19,0.819002462716295,0.565,0.099,1.22494453660526e-14,"ATIC"
"PSMG2",8.98117645958521e-19,0.791302625683922,0.652,0.123,1.22934343378802e-14,"PSMG2"
"NCAPH",9.16629125946651e-19,0.883573176680648,0.565,0.134,1.25468194759578e-14,"NCAPH"
"CNP",9.21261049586667e-19,0.728894346361664,0.557,0.095,1.26102212467423e-14,"CNP"
"ARSA",9.41261759258281e-19,-0.806179575644127,0.809,0.822,1.28839909607274e-14,"ARSA"
"MRPL4",9.73083464918924e-19,0.794823773359462,0.635,0.142,1.33195664678102e-14,"MRPL4"
"UCK2",9.79131093723006e-19,0.702161139084888,0.339,0.016,1.34023464108805e-14,"UCK2"
"AHCY",9.96236375248033e-19,0.808104023704767,0.443,0.051,1.36364835043951e-14,"AHCY"
"EXOSC6",1.02238933244617e-18,-0.778101976937732,0.8,0.798,1.39944651825232e-14,"EXOSC6"
"RPL36A",1.02272217620878e-18,-0.489074915344338,0.991,0.881,1.39990211479458e-14,"RPL36A"
"XRCC1",1.0392143115332e-18,0.834387019012355,0.443,0.055,1.42247654962664e-14,"XRCC1"
"PDCL3",1.16113949302561e-18,0.765724665929959,0.487,0.063,1.58936773805345e-14,"PDCL3"
"C12orf75",1.22963772317091e-18,0.829412281585834,0.53,0.079,1.68312811547635e-14,"C12orf75"
"MCMBP",1.28861300466741e-18,0.563198354296153,0.443,0.051,1.76385348078875e-14,"MCMBP"
"FUNDC2",1.28959210353178e-18,0.692674558983526,0.565,0.095,1.7651936713143e-14,"FUNDC2"
"BRIX1",1.30433414734092e-18,0.791561970673909,0.452,0.051,1.78537258088025e-14,"BRIX1"
"WDR18",1.33689244293113e-18,0.798075922735566,0.417,0.04,1.82993837588414e-14,"WDR18"
"MR1",1.35224915284978e-18,-0.77057354629889,0.861,0.846,1.85095864042078e-14,"MR1"
"EEF1E1",1.39042599560498e-18,0.808770879882339,0.513,0.071,1.9032151027841e-14,"EEF1E1"
"SURF4",1.40342894878559e-18,0.794548818029012,0.8,0.209,1.92101354509771e-14,"SURF4"
"VDAC1",1.40766082561544e-18,0.832868167013361,0.835,0.209,1.92680613810241e-14,"VDAC1"
"GCLM",1.44384142290521e-18,-0.80042677585054,0.861,0.806,1.97633013967265e-14,"GCLM"
"PHB",1.47955207324387e-18,0.769898549960759,0.713,0.158,2.02521087785621e-14,"PHB"
"AKR1B1",1.55762016355029e-18,0.841014565064508,0.626,0.115,2.13207047986763e-14,"AKR1B1"
"MRPL54",1.5872027062085e-18,0.81356634269998,0.513,0.071,2.1725630642582e-14,"MRPL54"
"ACTL6A",1.62017760086503e-18,0.87776592316166,0.539,0.087,2.21769910006406e-14,"ACTL6A"
"PSMC4",1.78111411022759e-18,0.773360211133107,0.617,0.111,2.43798899407953e-14,"PSMC4"
"ELMOD1",2.04201785080889e-18,-0.837981327046616,0.8,0.791,2.79511403418721e-14,"ELMOD1"
"MGME1",2.11225858785287e-18,0.770274175298724,0.4,0.036,2.89125955505301e-14,"MGME1"
"BUD31",2.15705710424777e-18,0.769531412454563,0.713,0.146,2.95257976429434e-14,"BUD31"
"GLUD1",2.29553991450024e-18,0.74958751603995,0.504,0.079,3.14213503496792e-14,"GLUD1"
"CMTM6",2.40633593264362e-18,0.702853275402484,0.8,0.194,3.29379262460259e-14,"CMTM6"
"MYO19",2.47426791399779e-18,0.549278191232385,0.487,0.067,3.38677792068018e-14,"MYO19"
"DUSP23",2.49102169230521e-18,0.79760998476818,0.461,0.055,3.40971049242737e-14,"DUSP23"
"AK2",2.51733594617268e-18,0.780820345523791,0.757,0.225,3.44572944312117e-14,"AK2"
"PTGIS",2.58400752446251e-18,-0.836849120778104,0.791,0.791,3.53698949948428e-14,"PTGIS"
"SMC4",2.62112512702099e-18,0.703779684912062,0.774,0.206,3.58779607386633e-14,"SMC4"
"NCAPD2",2.63274016210032e-18,0.742037033988311,0.704,0.229,3.60369473388292e-14,"NCAPD2"
"POLR1A",2.66815415915974e-18,0.603327804948889,0.391,0.036,3.65216941305785e-14,"POLR1A"
"FYB1",2.73267813399505e-18,-0.568850366330523,0.991,0.85,3.74048982981242e-14,"FYB1"
"RPL7A",2.74166961913138e-18,-0.371184896090311,0.991,0.822,3.75279737466704e-14,"RPL7A"
"PDP2",2.77170319153259e-18,-0.777047795665324,0.852,0.83,3.79390732856981e-14,"PDP2"
"POP5",2.78369717015658e-18,0.847593422217913,0.461,0.055,3.81032468651033e-14,"POP5"
"FTH1",2.8200086677351e-18,-0.386308243242507,0.991,0.826,3.86002786439581e-14,"FTH1"
"CCNB1",3.00284239540248e-18,0.8008460088275,0.322,0.012,4.11029067082691e-14,"CCNB1"
"ZNF557",3.10085585715627e-18,-0.803050143117873,0.852,0.83,4.2444514972755e-14,"ZNF557"
"EMC6",3.11027429953338e-18,0.780230172849426,0.461,0.055,4.2573434612013e-14,"EMC6"
"SQOR",3.11543478496868e-18,0.841500591627237,0.557,0.095,4.26440713366513e-14,"SQOR"
"ATP5MC1",3.27105752766698e-18,0.767890920904206,0.652,0.123,4.47742354387057e-14,"ATP5MC1"
"ZNRD2",3.2785877417623e-18,0.806724805692324,0.374,0.028,4.48773090092423e-14,"ZNRD2"
"DNAJB11",3.2882754190771e-18,0.830421040134337,0.513,0.075,4.50099139363273e-14,"DNAJB11"
"EIF2S1",3.32878830627525e-18,0.641241736298679,0.67,0.134,4.55644543362957e-14,"EIF2S1"
"LRRC2",3.48345955496499e-18,-0.902865011703841,0.8,0.794,4.76815943883608e-14,"LRRC2"
"SSNA1",3.49810945533048e-18,0.752862909441364,0.574,0.095,4.78821222245635e-14,"SSNA1"
"ANAPC15",3.5444845696899e-18,0.853670376732397,0.435,0.047,4.85169047899153e-14,"ANAPC15"
"CHCHD3",3.5470969323052e-18,0.836672197610159,0.478,0.067,4.85526628093936e-14,"CHCHD3"
"SIVA1",3.60889076635631e-18,0.836006518903104,0.817,0.186,4.93984968098852e-14,"SIVA1"
"SMS",3.61758112612012e-18,0.854754620720773,0.557,0.095,4.95174504543322e-14,"SMS"
"ELP5",3.67228750479915e-18,0.697658527726285,0.461,0.055,5.02662713656908e-14,"ELP5"
"CASP3",3.76778649461773e-18,0.744036284800748,0.565,0.095,5.15734615383275e-14,"CASP3"
"LRRC59",3.77524244787897e-18,0.5071248545191,0.461,0.055,5.16755186265673e-14,"LRRC59"
"UBR7",3.80190065624683e-18,0.683521027880297,0.47,0.063,5.20404161827066e-14,"UBR7"
"CTSB",3.93387612585511e-18,-0.482548823999301,0.948,0.913,5.38468964107047e-14,"CTSB"
"BAIAP2-DT",3.9348338009428e-18,-0.820098693088455,0.783,0.783,5.3860005067305e-14,"BAIAP2-DT"
"CNBP",3.9368532011087e-18,-0.488908765731189,0.991,0.949,5.38876466167759e-14,"CNBP"
"IL32",4.05606169871475e-18,-0.417842345849012,0.974,0.83,5.55193725320074e-14,"IL32"
"GGH",4.13510777329579e-18,0.811651893501686,0.287,0.004,5.66013552008728e-14,"GGH"
"FANCG",4.30124348107035e-18,0.75238496852293,0.357,0.024,5.8875420768891e-14,"FANCG"
"NME6",4.31285578524441e-18,-0.765807488304801,0.843,0.802,5.90343699884254e-14,"NME6"
"MRPS34",4.44772415921576e-18,0.751462040992574,0.661,0.126,6.08804482913453e-14,"MRPS34"
"APOBEC3D",4.49194670326e-18,-0.556117562520185,0.93,0.893,6.14857664742228e-14,"APOBEC3D"
"RBM42",4.85341434269246e-18,0.693458654889768,0.548,0.087,6.64335355227745e-14,"RBM42"
"GTF2A2",5.06242111156902e-18,0.717067240843266,0.678,0.138,6.92944201751567e-14,"GTF2A2"
"COMMD8",5.08457255547032e-18,0.766053556814348,0.443,0.051,6.95976291392778e-14,"COMMD8"
"YWHAZ",5.28692861971816e-18,-0.372785437983038,1,0.87,7.23674789467022e-14,"YWHAZ"
"CMC2",5.34307855108828e-18,0.812605929411314,0.661,0.134,7.31360592072964e-14,"CMC2"
"ABCA9",5.51959381798688e-18,-0.874129895083502,0.791,0.802,7.55522001806044e-14,"ABCA9"
"TXNDC15",5.9926897168106e-18,-0.674296648164017,0.87,0.846,8.20279368437035e-14,"TXNDC15"
"NASP",6.07221821704466e-18,0.788023941269902,0.809,0.213,8.31165229549073e-14,"NASP"
"SNTB2",6.19006828724169e-18,-0.820740961581851,0.861,0.85,8.47296547157643e-14,"SNTB2"
"AP1S1",6.31070072897383e-18,0.723325504027343,0.357,0.024,8.63808715781938e-14,"AP1S1"
"ARL3",6.66249453566812e-18,0.579801071695367,0.452,0.055,9.11962252042252e-14,"ARL3"
"CD63",6.67575755204651e-18,0.870221668646326,0.687,0.138,9.13777693724126e-14,"CD63"
"MMADHC",6.7075910166117e-18,0.82160708056714,0.626,0.126,9.1813505835381e-14,"MMADHC"
"TXN2",6.84816739289979e-18,0.844631400924129,0.583,0.103,9.37377152740123e-14,"TXN2"
"CD3D",7.26988402366053e-18,-0.425367502348081,0.983,0.822,9.95101725158654e-14,"CD3D"
"POLR2K",7.32163689741318e-18,0.735319297961108,0.687,0.142,1.00218565851792e-13,"POLR2K"
"UQCRFS1",7.38409271558182e-18,0.800615600692692,0.704,0.15,1.01073461090884e-13,"UQCRFS1"
"ZNF527",7.44857759109945e-18,-0.859767736253998,0.757,0.802,1.01956130066969e-13,"ZNF527"
"CIP2A",7.51796729257564e-18,0.629669830731893,0.409,0.043,1.02905936300775e-13,"CIP2A"
"NUDT21",7.65287004812308e-18,0.686103734217268,0.783,0.202,1.04752485218709e-13,"NUDT21"
"WDR54",7.83478536618362e-18,0.833012611797724,0.53,0.087,1.07242542092321e-13,"WDR54"
"TRAF7",8.03869166366771e-18,0.587338443769362,0.513,0.083,1.10033611492284e-13,"TRAF7"
"ASB6",8.12468301889018e-18,-0.738655201037189,0.809,0.838,1.11210661162569e-13,"ASB6"
"SF3B4",8.41507346015271e-18,0.644465040431195,0.652,0.13,1.1518552552257e-13,"SF3B4"
"AKR1A1",8.51379341238863e-18,0.785102775940907,0.522,0.079,1.16536804228776e-13,"AKR1A1"
"DCTN2",8.52095661481732e-18,0.738754705366362,0.583,0.107,1.16634854143619e-13,"DCTN2"
"ACTG1",8.64582436445785e-18,-0.32109451574103,1,0.874,1.18344043900699e-13,"ACTG1"
"NNT",8.81316938646088e-18,0.515041765125867,0.557,0.099,1.20634662561876e-13,"NNT"
"PPP2CA",8.89441834639213e-18,0.76072267176998,0.757,0.186,1.21746798325415e-13,"PPP2CA"
"CCL3",8.97757033623297e-18,0.988055071819687,0.47,0.071,1.22884982762357e-13,"CCL3"
"UQCRH",9.43623226160313e-18,0.857024740150028,0.87,0.213,1.29163147196824e-13,"UQCRH"
"NAGA",9.48150699515997e-18,0.641520471153527,0.435,0.051,1.2978286774975e-13,"NAGA"
"LIN28A",9.88286259736794e-18,-0.869932779695363,0.748,0.779,1.35276623232772e-13,"LIN28A"
"TMEM14C",1.01417189417815e-17,0.758125510501213,0.487,0.067,1.38819848875105e-13,"TMEM14C"
"RPS26",1.01898907226716e-17,-0.45562651193112,0.991,0.802,1.39479224211929e-13,"RPS26"
"LILRB3",1.04233519063538e-17,-0.841376263005455,0.774,0.783,1.42674840894171e-13,"LILRB3"
"PGAM1",1.0467411765113e-17,0.942394586333446,0.974,0.261,1.43277932240867e-13,"PGAM1"
"SMIM14",1.05677522507848e-17,-0.862599281339299,0.765,0.775,1.44651392808742e-13,"SMIM14"
"HIP1",1.07071622696444e-17,-0.769253882646135,0.809,0.826,1.46559637146892e-13,"HIP1"
"NPM3",1.10387952205694e-17,0.807521464051623,0.313,0.012,1.51099028979154e-13,"NPM3"
"PRDX6",1.10905873779135e-17,0.718471112319811,0.757,0.17,1.51807960028881e-13,"PRDX6"
"RBX1",1.20489693843447e-17,0.724841742860038,0.878,0.213,1.64926292932911e-13,"RBX1"
"RBBP5",1.22087034865381e-17,-0.702941374139019,0.852,0.858,1.67112733323733e-13,"RBBP5"
"BZW2",1.22601415558359e-17,0.787095016511618,0.374,0.032,1.67816817616282e-13,"BZW2"
"FADD",1.23808059608577e-17,0.7300920196474,0.426,0.047,1.6946847199222e-13,"FADD"
"LINC00665",1.25335352347592e-17,-0.818570792581244,0.783,0.779,1.71559030293384e-13,"LINC00665"
"EIF4A3",1.25565887383241e-17,0.766638114523875,0.696,0.154,1.7187458665018e-13,"EIF4A3"
"UTP23",1.26394073895535e-17,-0.714044305008061,0.843,0.814,1.73008208348209e-13,"UTP23"
"NAXE",1.26442538254774e-17,0.6684879989346,0.504,0.075,1.73074546363135e-13,"NAXE"
"ID3",1.29696837009254e-17,0.812369112874899,0.452,0.059,1.77529030498266e-13,"ID3"
"PLEKHG2",1.33182456538759e-17,-0.66843901412061,0.887,0.889,1.82300146510253e-13,"PLEKHG2"
"TMEM219",1.35053643421371e-17,0.85423677609389,0.522,0.083,1.84861427115172e-13,"TMEM219"
"PATJ",1.36072986897339e-17,-0.818096611337421,0.861,0.842,1.86256704465078e-13,"PATJ"
"NDUFA7",1.37260022582605e-17,0.792646302300332,0.609,0.115,1.87881518911069e-13,"NDUFA7"
"RTRAF",1.3977477594419e-17,0.783136406835304,0.765,0.178,1.91323713312408e-13,"RTRAF"
"POLR2H",1.4841854341047e-17,0.794709234337107,0.365,0.028,2.03155302220251e-13,"POLR2H"
"BRCA2",1.52295552144163e-17,0.668587539274408,0.557,0.134,2.0846215177493e-13,"BRCA2"
"BLVRA",1.53645109401521e-17,0.819503727399961,0.461,0.059,2.10309425748802e-13,"BLVRA"
"MEAK7",1.61343329981599e-17,-0.821207401622694,0.817,0.81,2.20846750078813e-13,"MEAK7"
"DCTN3",1.61569733183842e-17,0.821712483335005,0.591,0.111,2.21156650782043e-13,"DCTN3"
"SUCLG1",1.63599765222527e-17,0.703465535306598,0.609,0.115,2.23935358636595e-13,"SUCLG1"
"ANLN",1.67794377538606e-17,0.695073444360149,0.304,0.012,2.29676943974844e-13,"ANLN"
"C3orf33",1.68764857800683e-17,-1.00773355596176,0.652,0.759,2.31005337357575e-13,"C3orf33"
"SEC61G",1.7579145095617e-17,0.749537067269607,0.748,0.166,2.40623338068806e-13,"SEC61G"
"RPS5",1.76905402993313e-17,-0.386574457243119,0.983,0.814,2.42148115617247e-13,"RPS5"
"CFL1",1.8585517078347e-17,-0.326790614862007,1,0.854,2.54398557768414e-13,"CFL1"
"PBK",1.91614701449612e-17,0.776945106314354,0.278,0.004,2.62282203344229e-13,"PBK"
"SNX5",2.09952668179759e-17,0.698488254720724,0.722,0.166,2.87383212204454e-13,"SNX5"
"EXOSC8",2.109322568293e-17,0.745974858508925,0.609,0.119,2.88724073147947e-13,"EXOSC8"
"TYW5",2.12716070424823e-17,-0.772657320092154,0.8,0.826,2.91165757197498e-13,"TYW5"
"H1-2",2.2367650481216e-17,0.816289262436829,0.47,0.063,3.06168399786885e-13,"H1-2"
"POLR2I",2.26664163257264e-17,0.678999164152646,0.47,0.063,3.10257906666542e-13,"POLR2I"
"NDUFB6",2.29800617602448e-17,0.752411854737603,0.67,0.138,3.14551085374231e-13,"NDUFB6"
"ALG3",2.32509598100065e-17,0.779963081460108,0.357,0.028,3.18259137879369e-13,"ALG3"
"SLC1A5",2.53870318696725e-17,0.743241504988847,0.478,0.071,3.47497692232078e-13,"SLC1A5"
"CCT7",2.54113637591388e-17,0.828782563839114,0.757,0.178,3.47830747135093e-13,"CCT7"
"PSMA6",2.60136933026457e-17,0.863637887360079,0.826,0.202,3.56075433926615e-13,"PSMA6"
"PPIL1",2.65791713582601e-17,0.732187780411386,0.374,0.032,3.63815697551865e-13,"PPIL1"
"CDCA3",2.81270593301737e-17,0.839438437757702,0.261,0,3.85003188111417e-13,"CDCA3"
"CEP152",2.88494969612508e-17,0.568052373772993,0.391,0.04,3.94891914405601e-13,"CEP152"
"HIF3A",2.93192269695414e-17,-0.817414596007354,0.8,0.794,4.01321578759083e-13,"HIF3A"
"TRAPPC5",2.97813978983983e-17,0.745401415644818,0.522,0.083,4.07647774433276e-13,"TRAPPC5"
"MGAT1",3.03916195080811e-17,0.704456985486895,0.67,0.15,4.16000487826614e-13,"MGAT1"
"PSMA2",3.05839066989226e-17,0.817916407983659,0.878,0.225,4.18632514894853e-13,"PSMA2"
"PSMD8",3.07311121555574e-17,0.774596373085136,0.861,0.206,4.20647463185269e-13,"PSMD8"
"POLA1",3.13387685325379e-17,0.579993068836113,0.47,0.067,4.28965063673379e-13,"POLA1"
"CORO2A",3.20088974104766e-17,-0.825348546206866,0.87,0.818,4.38137787754604e-13,"CORO2A"
"TSC22D3",3.243813917882e-17,-0.759906726932629,0.8,0.791,4.44013249079688e-13,"TSC22D3"
"ZNF665",3.24616631134653e-17,-0.879075443185261,0.713,0.779,4.44335244697113e-13,"ZNF665"
"NAA20",3.26892013864335e-17,0.792698418999282,0.496,0.075,4.47449788577501e-13,"NAA20"
"POLQ",3.4066541201785e-17,0.603819591196244,0.348,0.028,4.66302815970033e-13,"POLQ"
"BCKDHB",3.55229540684895e-17,-0.817935857876962,0.817,0.802,4.86238195289484e-13,"BCKDHB"
"HAUS3",3.56228211386122e-17,-0.634069445554916,0.896,0.877,4.87605175745323e-13,"HAUS3"
"LYPLA2",3.6172548536362e-17,0.802454986369869,0.513,0.083,4.95129844365722e-13,"LYPLA2"
"RAD51AP1",3.62893312568685e-17,0.741739545942105,0.33,0.02,4.96728366244016e-13,"RAD51AP1"
"LSM6",3.63649773485778e-17,0.717531433104498,0.574,0.103,4.97763809947333e-13,"LSM6"
"TMED9",3.87535850530755e-17,0.730850096563996,0.652,0.138,5.30459072206498e-13,"TMED9"
"NOTCH1",3.90108389810253e-17,0.450419205415859,0.652,0.142,5.33980363972275e-13,"NOTCH1"
"ALG1",3.93207845959463e-17,-0.6724050056153,0.852,0.834,5.38222899549313e-13,"ALG1"
"PTMS",3.97510664763906e-17,0.62759505797594,0.391,0.04,5.44112597928835e-13,"PTMS"
"RFC3",4.0145322914106e-17,0.765673406110474,0.339,0.024,5.49509180048283e-13,"RFC3"
"CKLF",4.07453768188374e-17,0.636026511331914,0.8,0.186,5.57722717896246e-13,"CKLF"
"CYB5B",4.10975691934362e-17,0.673702283597187,0.687,0.198,5.62543527119755e-13,"CYB5B"
