"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"OLMALINC",0.0823397920266659,-0.089828514399776,0.27,0.162,1,"OLMALINC"
"TRMO",0.0824859752217758,-0.237669832492909,0.174,0.095,1,"TRMO"
"C1S",0.0826454801000585,0.0278449863354465,0.061,0.024,1,"C1S"
"ZNF610",0.0826454801000585,-0.00323303683300055,0.061,0.024,1,"ZNF610"
"ARFGEF1",0.0829891498400473,-0.334800226070096,0.417,0.245,1,"ARFGEF1"
"MAST3",0.0830684073055439,-0.542066105217562,0.687,0.553,1,"MAST3"
"ZNF747",0.0832089758810758,-0.456642890104328,0.652,0.506,1,"ZNF747"
"THAP9",0.0832321486592501,-0.0111228392528423,0.061,0.024,1,"THAP9"
"ZNF75A",0.0832410296028407,-0.125139834155871,0.148,0.079,1,"ZNF75A"
"COMMD6",0.0832939013048499,-0.029436040867302,0.774,0.395,1,"COMMD6"
"PRKCB",0.0834347602754453,-0.27767964351758,0.591,0.332,1,"PRKCB"
"ATP5MG",0.0837436480783142,0.203519307122884,0.974,0.47,1,"ATP5MG"
"DTX3",0.083807694129815,-0.111012666883073,0.087,0.04,1,"DTX3"
"DCHS1",0.0838221863473851,-0.0229248697216736,0.061,0.024,1,"DCHS1"
"CACNA2D4",0.0838221863473851,-0.0538304925543971,0.061,0.024,1,"CACNA2D4"
"CYTH4",0.0839180101061289,-0.215176381007816,0.339,0.198,1,"CYTH4"
"PAX3",0.0844156060276905,-0.015035753311629,0.061,0.024,1,"PAX3"
"IL3RA",0.0844156060276905,0.00152249898983134,0.061,0.024,1,"IL3RA"
"THEM5",0.0844156060276905,0.00906830593344755,0.061,0.024,1,"THEM5"
"PGAP1",0.0845828125702724,-0.331981604220853,0.478,0.458,1,"PGAP1"
"THAP6",0.0849646256392043,-0.401681194891625,0.678,0.538,1,"THAP6"
"ZNF845",0.0851438587694764,-0.137725898929715,0.209,0.123,1,"ZNF845"
"FAM214A",0.0853403498676996,-0.179102361809066,0.235,0.138,1,"FAM214A"
"ALDH5A1",0.0855021735546184,-0.436984260358741,0.687,0.538,1,"ALDH5A1"
"NBPF10",0.0857256921545061,-0.574562780414485,0.643,0.522,1,"NBPF10"
"PIK3CB",0.0857636652401819,-0.212663551682253,0.209,0.123,1,"PIK3CB"
"ARPC1B",0.0858085074094149,0.247235444010262,0.983,0.51,1,"ARPC1B"
"NDUFC2",0.0858117845339581,-0.145884267790244,0.878,0.7,1,"NDUFC2"
"B4GALT1",0.0858240748985309,-0.186330232945512,0.704,0.379,1,"B4GALT1"
"RNF216",0.0858380665679543,-0.555262295908883,0.643,0.561,1,"RNF216"
"MYO5C",0.0859080561156123,-0.396267558883075,0.365,0.36,1,"MYO5C"
"LAT",0.0860136646533465,0.0393011551278268,0.748,0.395,1,"LAT"
"HERC1",0.0860847979614658,-0.326811353544731,0.635,0.364,1,"HERC1"
"FCRLA",0.0862162856453466,-0.00808552738994324,0.061,0.024,1,"FCRLA"
"DKK3",0.0862162856453466,-0.0815895854515722,0.061,0.024,1,"DKK3"
"OSBPL5",0.0862162856453466,-0.0448936908802705,0.061,0.024,1,"OSBPL5"
"CYSLTR1",0.0862162856453466,-0.0740647962281388,0.061,0.024,1,"CYSLTR1"
"CCDC9",0.0862162856453466,-0.0652603676553013,0.061,0.024,1,"CCDC9"
"GRIN2A",0.0862162856453466,-0.0426550035752061,0.061,0.024,1,"GRIN2A"
"LATS1",0.0862643564378387,-0.215446300105913,0.617,0.411,1,"LATS1"
"ARRDC2",0.086655218691108,-0.226649744518839,0.13,0.067,1,"ARRDC2"
"LINC00623",0.0869960451363986,-0.177923690003175,0.296,0.17,1,"LINC00623"
"CHMP3",0.0872548386812217,-0.0922308958546716,0.496,0.332,1,"CHMP3"
"CCDC88A",0.0875041267985054,-0.089177170097023,0.13,0.071,1,"CCDC88A"
"TECPR2",0.0876026437303018,-0.0493965256572336,0.183,0.111,1,"TECPR2"
"HCST",0.0883134946886196,0.138914071919146,0.835,0.411,1,"HCST"
"SLC35E2B",0.0891109003400575,-0.237362857929648,0.504,0.32,1,"SLC35E2B"
"EPS15",0.0893673602779669,-0.145080432525862,0.704,0.387,1,"EPS15"
"ZNF28",0.0895905002571543,-0.125078852300864,0.33,0.209,1,"ZNF28"
"MIEF1",0.0896548912489288,-0.0546524800575718,0.661,0.443,1,"MIEF1"
"SLC25A45",0.0897614709878099,-0.512267881686275,0.591,0.49,1,"SLC25A45"
"TOX4",0.0898097170616642,-0.244952427949126,0.896,0.727,1,"TOX4"
"ANKRD37",0.0906164366746438,-0.0881715823984484,0.122,0.063,1,"ANKRD37"
"EIF3K",0.0907426220335801,0.141362117721667,0.913,0.427,1,"EIF3K"
"HERC3",0.0908414278212014,-0.207191410079641,0.322,0.19,1,"HERC3"
"CCDC170",0.0908737516544281,-0.404366229752223,0.478,0.419,1,"CCDC170"
"AKAP1",0.091041931319064,-0.123808767681101,0.122,0.063,1,"AKAP1"
"STK10",0.0912884374490883,-0.385488636035302,0.739,0.648,1,"STK10"
"DOP1B",0.0915561499211932,-0.362025924784997,0.635,0.522,1,"DOP1B"
"NR2C2",0.0915950434793776,-0.232543054507214,0.278,0.17,1,"NR2C2"
"RALGPS1",0.0918026640840361,-0.0113363671223026,0.078,0.036,1,"RALGPS1"
"ANO9",0.0922130674193059,-0.15466968522797,0.27,0.162,1,"ANO9"
"KIAA1109",0.092359051884056,-0.377767745450941,0.496,0.296,1,"KIAA1109"
"GPX8",0.092450484436796,-0.521435036209199,0.591,0.455,1,"GPX8"
"ATP5PB",0.0927184273928874,0.0945622404512292,0.878,0.628,1,"ATP5PB"
"SLC7A8",0.0927911696654575,0.0814205436619162,0.052,0.02,1,"SLC7A8"
"GPM6B",0.0930705426065511,-0.19869761853222,0.165,0.091,1,"GPM6B"
"SIRT1",0.0931935589969013,-0.154501379476385,0.122,0.063,1,"SIRT1"
"NBPF1",0.0933042692401959,-0.291696785390399,0.417,0.249,1,"NBPF1"
"RCAN1",0.093489571154312,0.096546956847938,0.052,0.02,1,"RCAN1"
"SETMAR",0.0938135259084212,-0.291804570444269,0.426,0.245,1,"SETMAR"
