"","B.cell","c1","c2","c3","c4","c5","CAF","Endo","Macro","malignant","NK","xcoord","ycoord"
"spot_15",0.024933379902021,0.012060861003102,0.000175779543327751,0.000175779543327755,0.000175779543327749,0.192937484593847,0.0702152899810346,0.114211128382365,0.190738417982203,0.34689844378734,0.0474776557381044,9,16
"spot_16",0.239183064148231,0.000101730879137932,0.000116872975261305,0.00010173087913795,0.263454459043682,0.0970352266265827,0.167280662719103,0.13760218487358,0.0949206060970096,0.000101730879137939,0.000101730879137951,9,17
"spot_17",0.0320137572639822,9.91886927781309e-05,9.9188692778132e-05,0.105233873692725,0.06483141770073,0.000129585983557188,0.288882025365314,0.115221131635036,0.1496036577989,0.24378698448142,9.91886927781286e-05,9,18
"spot_18",0.0641477790571937,0.150099545248678,0.0690420998401626,9.53936458834116e-05,0.0001072317767815,0.0133829165340701,0.188126182041852,0.128810207955015,0.134788695662807,0.250715466352473,0.000684481885084625,10,13
"spot_19",0.0167670831200925,0.000121821728519477,0.00012182172851949,0.000121821728519474,0.000121821728519479,0.187884601548876,0.175479256537643,0.0775562230618276,0.166500840030188,0.373584278770511,0.00174043001678296,10,15
"spot_20",0.0233536972043336,7.41299751560877e-05,0.0350430160664408,7.41299751560858e-05,0.143702427851897,0.0552680692444642,0.287451656278078,0.0616362569914833,0.270604296859185,0.0752556116073314,0.0475367079464739,10,16
"spot_21",0.108777450057563,0.000100365514556626,0.000100365514556616,0.000100365514556626,0.0758034024020674,0.122683550708366,0.244935753381397,0.0714744497426772,0.219291138008728,0.156632793640975,0.000100365514556626,10,17
"spot_22",0.0412493252050325,2.21487994389725e-05,2.21487994389799e-05,2.21487994389833e-05,2.21487994389716e-05,0.0576324550483239,0.549427132716664,0.070624815328683,0.140919824584747,0.140035703119355,2.2148799439008e-05,10,18
"spot_23",0.234576530783863,0.11309231581238,9.36457886704471e-05,9.36457886704527e-05,0.095551930412581,0.0347886858245559,0.158298157784099,0.137420243170009,0.118909392270784,0.107081806575717,9.36457886704588e-05,11,12
"spot_24",0.167626672517537,0.000266341771609299,0.0106253978662415,0.0722629292653601,0.000266341771609304,0.274392437868733,0.146278198984993,0.0906334724720575,0.12003592389605,0.1173459418142,0.000266341771609302,11,13
"spot_25",0.0405644772184336,0.00013439913764445,0.00013439913764445,0.00013439913764445,0.000134399137644447,0.137061110461139,0.10117555255702,0.0499781843537332,0.127393045888298,0.527052227687104,0.0162378052836943,11,14
"spot_26",0.00062814379424599,0.00015074483312904,0.00480333788241263,0.000150744833129041,0.000150744833129041,0.11178942949936,0.125290980225812,0.0443497980962787,0.132071549322349,0.561627115179402,0.0189874115007518,11,15
"spot_27",0.0639374269551225,0.000187601397021767,0.000187601397021767,0.000187601397021758,0.000187601397021768,0.157648566926141,0.204465203704234,0.0968700903228441,0.137803983886584,0.338336721219966,0.000187601397021767,11,16
"spot_28",0.107672521222251,0.0708236851712519,7.12437334033174e-05,7.12437334033204e-05,7.12437334033213e-05,0.0410496697345823,0.326108301447775,0.0543542400458682,0.179857648864679,0.21222662866697,0.00769357364641264,11,17
"spot_29",0.0625499960310437,0.000108299472401597,0.0560902434414243,0.000108299472401599,0.000108299472401598,0.149013956605184,0.138167840928307,0.0700723223890978,0.0995644125804884,0.424108030134849,0.000108299472401598,12,12
"spot_30",0.0622726128326996,0.0610727446508276,0.00013733555297325,0.000137335552973256,0.000137335552973253,0.0350547674339843,0.128883364076068,0.0908578786424603,0.13248991857266,0.488819371579407,0.000137335552973251,12,13
"spot_31",0.0544215014308387,0.100023110041048,8.86971847976947e-05,8.86971847976728e-05,8.86971847976648e-05,0.000120601061031671,0.0561306351420387,0.110150927595781,0.0979375177031619,0.580860918286909,8.86971847976741e-05,12,14
"spot_32",0.0634487090177815,0.000138210102493776,0.000138210102493773,0.000138210102493773,0.000138210102493773,0.170422607232049,0.118973628126617,0.0759645087000485,0.122160879971395,0.44833861643964,0.000138210102493775,12,15
"spot_33",0.0880704964137761,0.0810100639539968,0.000169788448732495,0.000169788448732495,0.00656591886748571,0.219115799138056,0.140600323900076,0.0743485465899671,0.267400891434816,0.0814054983411008,0.0411428844632604,12,16
"spot_34",0.114181740945357,0.0489923868997902,4.81933825280808e-05,0.0121788806557396,0.00981848115630894,4.85868782445004e-05,0.403206741432798,0.0153694094917202,0.226147712260017,0.0922343365002052,0.0777735303972913,12,17
"spot_35",0.0589168943939326,7.58133733949911e-05,7.58133733949923e-05,7.58133733950088e-05,0.0327404897461303,7.58133733949915e-05,0.162592617058683,0.0966823848448392,0.13270034528289,0.51598820180655,7.58133733949791e-05,13,11
"spot_36",0.0356858288945731,0.00010767768116374,0.000107677681163682,0.00010767768116371,0.00010767768116371,0.000107677681163714,0.0918301667850398,0.0626029608865902,0.0471841188362729,0.762050858510542,0.000107677681163713,13,12
"spot_37",0.0202918637049371,9.38659155289301e-05,9.38659155289246e-05,9.38659155289327e-05,9.38659155289339e-05,0.122853022380901,0.0328848061468656,0.0291848682217016,0.0488390714265562,0.743257146463032,0.00231375799389064,13,13
"spot_38",0.0570250144406649,0.000187851457863087,0.000187851457863086,0.000187851457863085,0.00293271498514246,0.136022816491227,0.155210298332399,0.0335507632246315,0.19563067889469,0.393853161104253,0.0252109981534024,13,14
"spot_39",0.0307669721490214,0.0793096173600692,0.000137663851475703,0.000137663851475693,0.00013766385147568,0.000145681439111188,0.110575362319576,0.0631797889838364,0.111705222801224,0.603766699541259,0.000137663851475675,13,15
"spot_40",0.0275027388853115,0.0327186639866545,0.000191007236298634,0.000191007236298629,0.000191007236298631,0.158108022074595,0.114283554228598,0.0697924337848073,0.218596883112856,0.378233674981982,0.000191007236298634,13,16
"spot_41",7.24986312662405e-05,7.24986312662422e-05,7.24986312662407e-05,7.24986312662412e-05,0.0468672522869934,0.165085700499094,0.392939465397197,0.144552256309832,0.120922681214834,0.0937477920983338,0.0355948576686508,13,17
"spot_42",0.0618790736226374,8.40206026416886e-05,8.40206026416391e-05,8.40206026416188e-05,8.40206026416381e-05,0.0387877690084356,0.451661245106163,0.000139031087431911,0.227721013937956,0.219391764224168,8.40206026416218e-05,13,18
"spot_43",0.000101840652869915,0.000101840652869912,0.000101840652869917,0.000101840652869911,0.0128482089319245,0.0285477497319197,0.0728779204396058,0.03434991979619,0.0502548910154583,0.800612106820552,0.000101840652869881,14,7
"spot_44",9.63671017806956e-05,9.63671017806989e-05,9.6367101780677e-05,9.63671017807063e-05,9.63671017806928e-05,0.0817269922871537,0.0622270073136762,0.0910187898549509,0.0625968055246581,0.701852202408877,9.63671017806947e-05,14,8
"spot_45",0.000110960792099823,0.0094628192346741,0.000110960792099826,0.000110960792099815,0.000110960792099824,0.19261879920907,0.318840801985451,0.0645740381033211,0.179333953813451,0.234614783693534,0.000110960792099824,14,9
"spot_46",0.00679744375184232,0.000138191649634953,0.000138191649634943,0.000138191649634951,0.000138191649634949,0.136930004279357,0.124143163246129,0.00014970312497725,0.0667344729232183,0.651405328727541,0.0132871173483954,14,10
"spot_47",0.0481667671757552,0.00966011762349902,8.61271050196683e-05,8.61271050196841e-05,8.61271050196723e-05,0.0535847152010051,0.066152730978294,0.0946437325395301,0.0619074601079166,0.665539967953921,8.61271050196803e-05,14,11
"spot_48",0.0229216247871949,9.86375394814344e-05,9.86375394814382e-05,9.86375394814476e-05,0.00205739519163393,0.0650532660380501,0.0944295031320125,0.0468478330864165,0.0103486945915487,0.757947133015218,9.86375394814388e-05,14,12
"spot_49",0.0340801567313788,0.000114767210725149,0.000114767210725144,0.000114767210725133,0.000114767210725148,0.152678369983316,0.101733259833966,0.0316545892147492,0.146363258776999,0.497849848916846,0.0351814476998435,14,13
"spot_50",0.03348637023541,0.000121606662369885,0.000121606662369874,0.000121606662369884,0.000121606662369897,0.130581933147919,0.191001326873878,0.0585111849107825,0.181766933575109,0.404044217945051,0.000121606662369882,14,14
"spot_51",0.000145410645427039,0.000145410645427037,0.000145410645427038,0.000145410645427032,0.000145410645427045,0.1281651318117,0.0950439438416795,0.0588035651014667,0.132060741192441,0.581456525183052,0.00374303964252582,14,15
"spot_52",0.135578467564167,0.000275807643593903,0.000275807643593914,0.000275807643593918,0.000275807643593914,0.199176506140864,0.103649752241424,0.116405813930753,0.142479898355087,0.301330523549735,0.000275807643593919,14,16
"spot_53",0.0642600205905377,5.29141931714334e-05,5.29141931714334e-05,0.0973240707161255,0.0629330979561345,0.0573967588675857,0.422947193463763,0.08795889203706,0.184070192496142,0.022951031293137,5.2914193171435e-05,14,17
"spot_54",0.0049501595605529,4.74976132767908e-05,4.74976132767315e-05,4.74976132767817e-05,4.74976132767746e-05,4.74976132767953e-05,0.403220053412813,0.189666450517432,0.169159738428113,0.191221375249091,0.041544734765614,14,18
"spot_55",0.0993138766491124,0.000104897408262292,0.000104897408262298,0.000104897408262296,0.113368089989109,0.000104897408262296,0.139685682957439,0.0647343382366276,0.155150224373425,0.422607961419948,0.00472023674129042,15,5
"spot_56",0.000107109870989651,0.0972605989901707,0.000107109870989639,0.000107109870989654,0.00010710987098965,0.000107109870989654,0.166880861559611,0.0900882504220172,0.193198063571338,0.388764282930755,0.0632723931711586,15,6
"spot_57",0.00821146215757714,0.0395290127284351,0.000121904624183222,0.000121904624183229,0.000121904624183253,0.0847672905282196,0.191371914798964,0.0687471019993604,0.188485563990747,0.383697239775255,0.0348247001488917,15,7
"spot_58",9.06095067963777e-05,0.0518096883255342,9.06095067963865e-05,9.06095067963682e-05,9.0609506796379e-05,0.0568846445784387,0.118643580603719,0.0867234091337321,0.21447504837514,0.471010581449453,9.06095067963752e-05,15,8
"spot_59",0.0100892901616251,0.000134593843734467,0.000134593843734464,0.000134593843734462,0.000134593843734461,0.0822973939783865,0.181541592295985,0.0603393435872487,0.170746984593212,0.49008073773697,0.0043662822716351,15,9
"spot_60",0.000158702541678524,0.000158702541678542,0.000158702541678532,0.000158702541678516,0.00015870254167852,0.0361265773163356,0.0665575845866727,0.110030777727178,0.0429694916735427,0.7433633534462,0.000158702541678528,15,10
"spot_61",0.00509149882984609,7.97085841475978e-05,7.97085841475781e-05,7.97085841475981e-05,7.9708584147609e-05,0.180372405856031,0.0650297661488349,0.0813642034616504,0.00706138087980926,0.623214463527805,0.037547446959433,15,11
"spot_62",0.000115546454276731,0.000115546454276753,0.000115546454276724,0.000115546454276736,0.00682752786815991,0.271909568852542,0.124454843512196,0.0210244439702323,0.0706549933516021,0.501524590799012,0.00314184582914881,15,12
"spot_63",0.0149152897426243,0.000154697822174621,0.000154697822174611,0.00015469782217462,0.00015469782217462,0.11035616313873,0.0959322318283074,0.0842115943917715,0.0490879955442337,0.642357150577756,0.00252078348787829,15,13
"spot_64",0.0390676659115343,9.21141840437223e-05,9.21141840437304e-05,9.21141840437155e-05,9.21141840437336e-05,0.0555065097638078,0.0618728104138938,0.11561579430096,0.0599050140302851,0.6675716346593,9.21141840437348e-05,15,14
"spot_65",0.0304506836726521,9.32961564648189e-05,9.32961564648306e-05,9.32961564648289e-05,9.32961564648195e-05,0.128231706463701,0.0672654733256439,0.100860884505478,0.0750293952047656,0.597695376045435,9.32961564648233e-05,15,15
"spot_66",0.0211843425180032,0.037262394608713,0.000140735440298945,0.000140735440298931,0.000140735440298944,0.0595274448196743,0.0877781060015251,0.0733012008201023,0.14606591724995,0.574317652220836,0.000140735440298942,15,16
"spot_67",0.0709546217616857,0.122069601349448,0.000113933478082888,0.111991802670274,0.000113933478082889,0.000113933478082888,0.274995407478761,0.0573179258090109,0.189726367591982,0.170646618416335,0.00195585448825451,15,17
"spot_68",0.229126180957697,7.55461819887432e-05,7.55461819887403e-05,7.55461819887223e-05,7.55461819887337e-05,7.55461819887682e-05,0.205417745034773,0.0236361202290366,0.171129284574874,0.370237392111687,7.55461819887447e-05,15,18
"spot_69",0.0294256592273845,0.0552701266530186,4.95030704161218e-05,4.95030704160872e-05,4.95030704161082e-05,0.0744663282078871,0.161046596598326,0.0776979712560429,0.119430219602111,0.461839731099969,0.0206748581440128,16,3
"spot_70",0.0001128718444797,0.0001128718444797,0.0068191341944005,0.000112871844479699,0.000112871844479695,0.128195374094436,0.113782423614943,0.116519155562524,0.113080833287298,0.500266136138466,0.020885455730013,16,4
"spot_71",0.00110930935753895,0.000101302199892234,0.000101302199892227,0.000101302199892222,0.000101302199892219,0.0881693408862194,0.0354839941368804,0.0841547661355833,0.0367105184701018,0.74218190585717,0.011784956356937,16,5
"spot_72",0.00203289587221185,0.0456229666144383,0.000150646416347472,0.00015064641634747,0.000150646416347467,0.00599817035332841,0.106198436678156,0.0744203845534182,0.124383141484728,0.64074141877833,0.000150646416347473,16,6
"spot_73",0.00014960642499214,0.0106879569408991,0.000149606424992103,0.000149606424992146,0.000149606424992144,0.0680533949836705,0.128579588823207,0.0146480502447132,0.130534164995556,0.640365721112211,0.00653269719977443,16,7
"spot_74",0.000912846212829014,0.000120361737863513,0.000120361737863514,0.000120361737863512,0.000120361737863512,0.158359046128112,0.201009499845278,0.0602322352546266,0.178856548324488,0.363327589605787,0.0368207876774252,16,8
