"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MRAS2",7.7091943959018e-07,0.526491163140604,0.423,0.262,0.0118127985728403,"11","MRAS"
"MTFR1L",1.07970686251967e-06,0.627233849999682,0.49,0.378,0.0165443482543889,"11","MTFR1L"
"FLOT1",1.43371164288123e-06,0.55495908338954,0.625,0.56,0.0219687635038691,"11","FLOT1"
"DECR1",1.45440162253423e-06,0.620545172802762,0.644,0.598,0.022285796062092,"11","DECR1"
"CCNB21",1.50336991836753e-06,0.789495420047862,0.317,0.168,0.0230361372591456,"11","CCNB2"
"COL21A12",1.65656584714595e-06,0.566240769910679,0.481,0.312,0.0253835584758173,"11","COL21A1"
"MRPS252",1.80405473402494e-06,0.559604654361193,0.529,0.416,0.0276435306894641,"11","MRPS25"
"AC013461.12",1.97147737645779e-06,0.560902442179733,0.548,0.41,0.0302089478394627,"11","AC013461.1"
"RPA31",2.86482406190195e-06,0.616030671524324,0.548,0.439,0.0438976991005235,"11","RPA3"
"TMEM126B",2.865932410463e-06,0.652175466807489,0.538,0.468,0.0439146823255246,"11","TMEM126B"
"ALDOC2",3.01724915343764e-06,0.658936556663726,0.337,0.185,0.046233308778125,"11","ALDOC"
"HMGB21",3.11966649089388e-06,1.1772901794636,0.692,0.68,0.0478026496399669,"11","HMGB2"
