"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ptpn2",8.14516106951469e-07,0.622756221051355,0.252,0.122,0.000830806429090499,"L2/3","Ptpn2"
"Ptgs2",9.79933995863862e-07,0.972216029464756,0.225,0.105,0.000999532675781139,"L2/3","Ptgs2"
"Fosl2",1.3744752940499e-06,0.747469393479483,0.332,0.19,0.00140196479993089,"L2/3","Fosl2"
"Ptchd2",1.9194060951934e-06,0.710958940337194,0.225,0.111,0.00195779421709727,"L2/3","Ptchd2"
"Ptk2b",2.14114612242775e-06,0.634772288334147,0.412,0.252,0.0021839690448763,"L2/3","Ptk2b"
"X1700086L19Rik",2.21932885429204e-06,0.685815270666915,0.328,0.189,0.00226371543137788,"L2/3","X1700086L19Rik"
"Arpp211",2.59562312679982e-06,0.509673637076189,0.66,0.521,0.00264753558933581,"L2/3","Arpp21"
"Ralyl1",3.47076852394955e-06,0.573639326881924,0.508,0.341,0.00354018389442854,"L2/3","Ralyl"
"Mef2c1",3.51288203834102e-06,0.512058701366271,0.542,0.375,0.00358313967910784,"L2/3","Mef2c"
"B230216N24Rik",3.51775009115177e-06,0.719950142826318,0.221,0.108,0.0035881050929748,"L2/3","B230216N24Rik"
"Gria31",3.84459195271401e-06,0.524123214714924,0.435,0.275,0.00392148379176829,"L2/3","Gria3"
"Pcdhb19",4.45545801912821e-06,0.777926202128252,0.198,0.093,0.00454456717951077,"L2/3","Pcdhb19"
"Pdlim3",4.50069319971527e-06,0.701152685855864,0.26,0.139,0.00459070706370958,"L2/3","Pdlim3"
"Cyb5r1",4.56679478380407e-06,0.582783480254336,0.244,0.126,0.00465813067948015,"L2/3","Cyb5r1"
"Glt8d2",4.79931327389878e-06,0.7170625209065,0.282,0.152,0.00489529953937675,"L2/3","Glt8d2"
"Ptn",4.84979464424312e-06,0.519538015166196,0.378,0.219,0.00494679053712798,"L2/3","Ptn"
"Arpp19",5.03947166512861e-06,0.51857480800012,0.519,0.357,0.00514026109843118,"L2/3","Arpp19"
"Egr4",5.69820679624407e-06,0.720357569678328,0.24,0.125,0.00581217093216895,"L2/3","Egr4"
"Wt1",6.23193753296308e-06,0.713705395975799,0.183,0.084,0.00635657628362235,"L2/3","Wt1"
"Pdzrn3",7.2447410916497e-06,0.665707393094456,0.385,0.241,0.0073896359134827,"L2/3","Pdzrn3"
"Skil",8.25876704905922e-06,0.550144210982253,0.298,0.167,0.0084239423900404,"L2/3","Skil"
"Vip",9.5557040520132e-06,1.47967402193907,0.214,0.109,0.00974681813305346,"L2/3","Vip"
"Herc3",1.36337419595036e-05,0.614905008635465,0.302,0.172,0.0139064167986936,"L2/3","Herc3"
"Ttyh1",1.6240070197839e-05,0.651699088637335,0.382,0.243,0.0165648716017958,"L2/3","Ttyh1"
"Pcdhb2",1.99628286344e-05,0.555915244580013,0.256,0.143,0.020362085207088,"L2/3","Pcdhb2"
"Itm2a",2.29543945411187e-05,0.808307051110131,0.233,0.126,0.0234134824319411,"L2/3","Itm2a"
"Adm",2.61019796877386e-05,0.885045963420287,0.118,0.048,0.0266240192814934,"L2/3","Adm"
"Rasgef1b",2.7565796136891e-05,0.530893571096449,0.244,0.132,0.0281171120596288,"L2/3","Rasgef1b"
"Adk",4.10704780305577e-05,0.736494938833014,0.176,0.087,0.0418918875911689,"L2/3","Adk"
"Rgs41",4.68042469073209e-05,0.564254025933605,0.42,0.275,0.0477403318454673,"L2/3","Rgs4"
"Cacng3",4.75243873399403e-05,0.644704086226482,0.355,0.232,0.0484748750867392,"L2/3","Cacng3"
"Dlx1",5.20571339734539e-05,0.757455366795206,0.164,0.079,0.053098276652923,"L2/3","Dlx1"
"Gpr88",9.83241402715632e-05,0.621038922295348,0.279,0.169,0.100290623076994,"L2/3","Gpr88"
"Pcdhb9",0.000109120554995124,0.532100979552728,0.256,0.148,0.111302966095027,"L2/3","Pcdhb9"
