"","simulation","ARI","method"
"189","sim21",0.995966493478091,"STAGATE"
"190","sim22",0.957709762899771,"scSpace"
"191","sim22",0.645502461242378,"louvain"
"192","sim22",0.912545361865057,"kmeans"
"193","sim22",0.599351174112621,"hclust"
"194","sim22",0.421875449997126,"scCoGAPS"
"195","sim22",0.911655355124242,"DR.SC"
"196","sim22",0.836747194399128,"BayesSpace"
"197","sim22",0.497004793524262,"SpaGCN"
"198","sim22",0.981770478711568,"STAGATE"
"199","sim23",0.619893017966657,"scSpace"
"200","sim23",0.407262425416445,"louvain"
"201","sim23",0.396242519177963,"kmeans"
"202","sim23",0.597148584328139,"hclust"
"203","sim23",0.5423343113079,"scCoGAPS"
"204","sim23",0.868123527870385,"DR.SC"
"205","sim23",0.492658247401978,"BayesSpace"
"206","sim23",0.168670932637777,"SpaGCN"
"207","sim23",0.605170807060177,"STAGATE"
"208","sim24",0.876809639783962,"scSpace"
"209","sim24",0.87949130092481,"louvain"
"210","sim24",0.814943195869538,"kmeans"
"211","sim24",0.869580148465474,"hclust"
"212","sim24",0.700722973791808,"scCoGAPS"
"213","sim24",0.880479222759322,"DR.SC"
"214","sim24",0.823900067620821,"BayesSpace"
"215","sim24",0.698556034541647,"SpaGCN"
"216","sim24",0.982722708322388,"STAGATE"
"217","sim25",0.932577991327103,"scSpace"
"218","sim25",0.690152498299592,"louvain"
"219","sim25",0.853790265607645,"kmeans"
"220","sim25",0.646682572761444,"hclust"
"221","sim25",0.710054085169303,"scCoGAPS"
"222","sim25",0.881044156666461,"DR.SC"
"223","sim25",0.747625131217505,"BayesSpace"
"224","sim25",0.494306494907008,"SpaGCN"
"225","sim25",0.929294326525998,"STAGATE"
"226","sim26",0.884516299506762,"scSpace"
"227","sim26",0.844634805443932,"louvain"
"228","sim26",0.54124596388431,"kmeans"
"229","sim26",0.293363222058941,"hclust"
"230","sim26",0.583550701788311,"scCoGAPS"
"231","sim26",0.880043752460651,"DR.SC"
"232","sim26",0.786231374210638,"BayesSpace"
"233","sim26",0.628322400938349,"SpaGCN"
"234","sim26",0.884431557979911,"STAGATE"
"235","sim27",0.992023706661438,"scSpace"
"236","sim27",0.777824328962695,"louvain"
"237","sim27",0.977017920893297,"kmeans"
"238","sim27",0.620829577170046,"hclust"
"239","sim27",0.913011325189622,"scCoGAPS"
"240","sim27",0.908022105779721,"DR.SC"
"241","sim27",0.898735881831708,"BayesSpace"
"242","sim27",0.856260289249371,"SpaGCN"
"243","sim27",0.986575724066828,"STAGATE"
"244","sim28",0.869142611133003,"scSpace"
"245","sim28",0.81042243855677,"louvain"
"246","sim28",0.709864477093345,"kmeans"
"247","sim28",0.301730172512362,"hclust"
"248","sim28",0.563424039624769,"scCoGAPS"
"249","sim28",0.79514575502876,"DR.SC"
"250","sim28",0.743403078411843,"BayesSpace"
"251","sim28",0.537133075643782,"SpaGCN"
"252","sim28",0.834859570841058,"STAGATE"
"253","sim29",0.565847287250744,"scSpace"
"254","sim29",0.831258493346273,"louvain"
"255","sim29",0.765428361822335,"kmeans"
"256","sim29",0.331963552616946,"hclust"
"257","sim29",0.567080932262135,"scCoGAPS"
"258","sim29",0.559762750703239,"DR.SC"
"259","sim29",0.731967365471568,"BayesSpace"
"260","sim29",0.57484845530584,"SpaGCN"
"261","sim29",0.923852745612805,"STAGATE"
"262","sim30",0.978132641696205,"scSpace"
"263","sim30",0.835578659674579,"louvain"
"264","sim30",0.743495024799591,"kmeans"
"265","sim30",0.566794900975791,"hclust"
"266","sim30",0.683435201251393,"scCoGAPS"
"267","sim30",0.590319744592253,"DR.SC"
"268","sim30",0.73683824695775,"BayesSpace"
"269","sim30",0.508962936079138,"SpaGCN"
"270","sim30",0.91624598820781,"STAGATE"
"271","sim31",0.990438974475951,"scSpace"
"272","sim31",0.524147351497146,"louvain"
"273","sim31",0.485160219685264,"kmeans"
"274","sim31",-0.00252155626425399,"hclust"
"275","sim31",0.476315575139432,"scCoGAPS"
"276","sim31",0.893329267717125,"DR.SC"
"277","sim31",0.462852203745631,"BayesSpace"
"278","sim31",0.443962771105173,"SpaGCN"
"279","sim31",0.98910573600104,"STAGATE"
"280","sim32",0.926238788343534,"scSpace"
"281","sim32",0.285377534144155,"louvain"
"282","sim32",0.480051184468579,"kmeans"
"283","sim32",-0.0039527059759919,"hclust"
"284","sim32",0.340354208954846,"scCoGAPS"
"285","sim32",0.773246681573946,"DR.SC"
"286","sim32",0.263801471203125,"BayesSpace"
"287","sim32",0.245137701456595,"SpaGCN"
"288","sim32",0.895514317485746,"STAGATE"
"289","sim33",0.56469866075372,"scSpace"
"290","sim33",0.279816496639101,"louvain"
"291","sim33",0.226806111004008,"kmeans"
"292","sim33",0.00053425385800365,"hclust"
"293","sim33",0.425100182269378,"scCoGAPS"
"294","sim33",0.68129585795819,"DR.SC"
"295","sim33",0.436937509198948,"BayesSpace"
"296","sim33",0.273040046219901,"SpaGCN"
"297","sim33",0.428976669637946,"STAGATE"
"298","sim34",0.930246383331041,"scSpace"
"299","sim34",0.808485911792057,"louvain"
"300","sim34",0.688364752781277,"kmeans"
"301","sim34",0.00223080234088981,"hclust"
"302","sim34",0.810783087533709,"scCoGAPS"
"303","sim34",0.873622477620906,"DR.SC"
"304","sim34",0.685199698044495,"BayesSpace"
"305","sim34",0.686082673505254,"SpaGCN"
"306","sim34",0.947184235040723,"STAGATE"
"307","sim35",0.862546919993551,"scSpace"
