"","simulation","subcluster_num","ARI","method"
"251","sim28",3,-0.00107071879709437,"SpaGCN"
"252","sim28",3,0.589241881320604,"STAGATE"
"253","sim29",3,0,"scSpace"
"254","sim29",3,0.640674926282925,"louvain"
"255","sim29",3,0.595641068997213,"kmeans"
"256","sim29",3,0.0029318648632501,"hclust"
"257","sim29",3,0.000813717806454704,"scCoGAPS"
"258","sim29",3,0.00267019753112413,"DR.SC"
"259","sim29",3,0.430467863321507,"BayesSpace"
"260","sim29",3,0.0971161320465947,"SpaGCN"
"261","sim29",3,0.847954781040391,"STAGATE"
"262","sim30",4,0.932471815723964,"scSpace"
"263","sim30",4,0.495177919202018,"louvain"
"264","sim30",4,0.647228016651546,"kmeans"
"265","sim30",4,-0.000389783848384946,"hclust"
"266","sim30",4,0.116381242225585,"scCoGAPS"
"267","sim30",4,0.00775189589126278,"DR.SC"
"268","sim30",4,0.183358765516004,"BayesSpace"
"269","sim30",4,0.0156930931296847,"SpaGCN"
"270","sim30",4,0.792096522529621,"STAGATE"
"271","sim31",2,0.920359416034237,"scSpace"
"272","sim31",2,0,"louvain"
"273","sim31",2,0,"kmeans"
"274","sim31",2,0,"hclust"
"275","sim31",2,0,"scCoGAPS"
"276","sim31",2,0.0403690448584235,"DR.SC"
"277","sim31",2,0,"BayesSpace"
"278","sim31",2,-0.00837386440085801,"SpaGCN"
"279","sim31",2,0.909040076539454,"STAGATE"
"280","sim32",3,0.493104577473648,"scSpace"
"281","sim32",3,0,"louvain"
"282","sim32",3,0.305416910457934,"kmeans"
"283","sim32",3,0.00247147732774703,"hclust"
"284","sim32",3,0,"scCoGAPS"
"285","sim32",3,0.0159431339112683,"DR.SC"
"286","sim32",3,0,"BayesSpace"
"287","sim32",3,-5.61115670989382e-05,"SpaGCN"
"288","sim32",3,0.472278158214981,"STAGATE"
"289","sim33",4,0.391831144789043,"scSpace"
"290","sim33",4,0.0232376144463146,"louvain"
"291","sim33",4,-0.000219647666786903,"kmeans"
"292","sim33",4,5.16297865179999e-05,"hclust"
"293","sim33",4,0.00283341538308175,"scCoGAPS"
"294","sim33",4,0.0172838736509198,"DR.SC"
"295","sim33",4,0.0352061163154062,"BayesSpace"
"296","sim33",4,0.00697042525805901,"SpaGCN"
"297","sim33",4,0.251621662693048,"STAGATE"
"298","sim34",2,0.593668622646788,"scSpace"
"299","sim34",2,-0.0045768184442374,"louvain"
"300","sim34",2,0,"kmeans"
"301","sim34",2,0.00446650305474566,"hclust"
"302","sim34",2,-0.0255907577428514,"scCoGAPS"
"303","sim34",2,0.0659566230422214,"DR.SC"
"304","sim34",2,0,"BayesSpace"
"305","sim34",2,0,"SpaGCN"
"306","sim34",2,0.697849165007299,"STAGATE"
"307","sim35",3,0.571899485321535,"scSpace"
"308","sim35",3,0.307833539250964,"louvain"
"309","sim35",3,0,"kmeans"
"310","sim35",3,0.00262071648963722,"hclust"
"311","sim35",3,0.0406818654970087,"scCoGAPS"
"312","sim35",3,0.0970022966562243,"DR.SC"
"313","sim35",3,0.389267176814675,"BayesSpace"
"314","sim35",3,0.219680865338988,"SpaGCN"
"315","sim35",3,0.505621524361515,"STAGATE"
"316","sim36",4,0.350306475183997,"scSpace"
"317","sim36",4,0.0490226394421143,"louvain"
"318","sim36",4,0.229478308930887,"kmeans"
"319","sim36",4,0.00350250332879842,"hclust"
"320","sim36",4,-0.00319432656663538,"scCoGAPS"
"321","sim36",4,0.00543839784863798,"DR.SC"
"322","sim36",4,0.0766855444566632,"BayesSpace"
"323","sim36",4,0.00250532601981036,"SpaGCN"
"324","sim36",4,0.194874484015207,"STAGATE"
"325","sim37",2,0.778557967746299,"scSpace"
"326","sim37",2,0.693173514027929,"louvain"
"327","sim37",2,0,"kmeans"
"328","sim37",2,0.0209448705354132,"hclust"
"329","sim37",2,-0.00440570165295366,"scCoGAPS"
"330","sim37",2,0.0196028570386353,"DR.SC"
"331","sim37",2,0.281223977291993,"BayesSpace"
"332","sim37",2,0.00343835504868079,"SpaGCN"
"333","sim37",2,0.107321908494151,"STAGATE"
"334","sim38",3,0.795080735849155,"scSpace"
"335","sim38",3,0.794973592100332,"louvain"
"336","sim38",3,0.389236561788939,"kmeans"
"337","sim38",3,0.00276559108951773,"hclust"
"338","sim38",3,0.0118794737584299,"scCoGAPS"
"339","sim38",3,0.373337172645805,"DR.SC"
"340","sim38",3,0.400389977929319,"BayesSpace"
"341","sim38",3,0.026998150687759,"SpaGCN"
"342","sim38",3,0.364191095683705,"STAGATE"
"343","sim39",3,0.871844974549438,"scSpace"
"344","sim39",3,0.224526345053191,"louvain"
"345","sim39",3,0.51246054180563,"kmeans"
"346","sim39",3,0.0265722927097623,"hclust"
"347","sim39",3,0.0426693980677266,"scCoGAPS"
"348","sim39",3,0.353563417809991,"DR.SC"
"349","sim39",3,0.151154053151706,"BayesSpace"
"350","sim39",3,0.0634407267935143,"SpaGCN"
"351","sim39",3,0.566464379082205,"STAGATE"
"352","sim40",4,0.431859795324072,"scSpace"
"353","sim40",4,0.336542877116385,"louvain"
"354","sim40",4,0.244213804760227,"kmeans"
"355","sim40",4,0.00449971671242323,"hclust"
"356","sim40",4,0.0100453418480565,"scCoGAPS"
"357","sim40",4,0.0522305601903359,"DR.SC"
"358","sim40",4,0.0226444877404785,"BayesSpace"
"359","sim40",4,0.0197275132336716,"SpaGCN"
"360","sim40",4,0.481138805931542,"STAGATE"
"361","sim41",2,0.975132300670178,"scSpace"
"362","sim41",2,0,"louvain"
"363","sim41",2,0.787446415322209,"kmeans"
"364","sim41",2,-0.00198900653763623,"hclust"
"365","sim41",2,0,"scCoGAPS"
"366","sim41",2,0.00173164937869359,"DR.SC"
"367","sim41",2,0,"BayesSpace"
