"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","logp","group"
"TCF3",-0.148763399058661,6.18331031176536,-4.17037674663299,4.21929120030764e-05,0.000124757459232118,1.53664634065797,"TCF3",3.90393347851819,"no_sig"
"NANOG",-0.238512272911251,6.4180040311784,-4.15494646882379,4.49421850689143e-05,0.000132613721827507,1.47719914481521,"NANOG",3.87741153622049,"no_sig"
"FASLG",-0.190259420614511,5.44168150743898,-4.15457068329144,4.50112267516721e-05,0.000132613721827507,1.47575376347258,"FASLG",3.87741153622049,"no_sig"
"NDUFA11",0.211699269916515,6.51422117606751,4.15006321232375,4.58472948035532e-05,0.000134835335701326,1.4584255430136,"NDUFA11",3.87019627924668,"no_sig"
"ESR2",-0.176771460790392,5.73049073256722,-4.14752696287522,4.63242236727512e-05,0.00013599468521072,1.4486825270156,"ESR2",3.86647806390007,"no_sig"
"HSPA2",-0.175588681300405,5.53229589798712,-4.14466654212521,4.68677902860815e-05,0.000137345182228731,1.43770040461353,"HSPA2",3.86218657008524,"no_sig"
"GRIN2A",-0.186843421450614,5.4665991226175,-4.14356265786698,4.70791845518842e-05,0.000137719180432914,1.43346397755187,"GRIN2A",3.8610055704469,"no_sig"
"FOSL1",-0.166455336015237,5.59801216565695,-4.13445089162493,4.88591682239033e-05,0.000142672242557899,1.39853274250838,"FOSL1",3.84566051235504,"no_sig"
"FGF18",-0.193719555125083,5.64133502941031,-4.1246116457311,5.08532826298003e-05,0.000148231908942184,1.36088759575071,"FGF18",3.82905829847641,"no_sig"
"COX5B",0.292016612188571,6.56912462480339,4.12015763459233,5.17812754136978e-05,0.0001506697642126,1.34387208319858,"COX5B",3.82197389136882,"no_sig"
"TLR10",-0.185763668642025,5.84058752428183,-4.11662907777483,5.25278897525043e-05,0.000152572174475472,1.33040339598634,"TLR10",3.81652466411149,"no_sig"
"NFKBIZ",-0.230404763852183,6.46948101386235,-4.11583783734202,5.26967130017615e-05,0.000152792585846377,1.32738456638232,"NFKBIZ",3.81589771908577,"no_sig"
"CLCF1",-0.168492529461498,5.53930655379177,-4.11209870506653,5.35015365476332e-05,0.000154853038880826,1.31312543313201,"CLCF1",3.81008026750304,"no_sig"
"ASPA",-0.161640128716303,5.54979050851901,-4.1049849382513,5.50651916046161e-05,0.000158979730701654,1.28602829342485,"ASPA",3.79865824301014,"no_sig"
"IL16",-0.166553780183395,5.70022835248424,-4.10473591732875,5.51207095498435e-05,0.000158979730701654,1.28508048396469,"IL16",3.79865824301014,"no_sig"
"ATG16L1",-0.102779096719717,5.93324091719416,-4.10154062729975,5.58378342108359e-05,0.000160766023542231,1.27292318964159,"ATG16L1",3.79380573013524,"no_sig"
"CD3D",-0.146988917430884,5.84841181059588,-4.0985209881977,5.65237026391109e-05,0.000162456236256465,1.26144177550183,"CD3D",3.78926361260594,"no_sig"
"IL2RA",-0.140571923187989,5.9752686228445,-4.09284852539581,5.78338872277437e-05,0.000165931781156039,1.23989357034737,"IL2RA",3.78007042495323,"no_sig"
"CTSW",-0.137014947911158,5.81839226905196,-4.08918965175274,5.86942860458093e-05,0.000168106979545837,1.22600825050607,"CTSW",3.77441425494056,"no_sig"
"SH2D1B",-0.180556289005565,5.60299680505314,-4.08773518136906,5.90396868433413e-05,0.000168802165513831,1.22049158144073,"SH2D1B",3.77262198623717,"no_sig"
"NCOR1",0.125021830037982,5.97411208179829,4.08371248074067,6.00050923766395e-05,0.000171264534491659,1.20524275945257,"NCOR1",3.76633256154841,"no_sig"
"MPPED1",-0.159298992590945,5.7054895430959,-4.07603407946637,6.18897301568943e-05,0.0001763374633933,1.1761726171145,"MPPED1",3.75365541080594,"no_sig"
"CDC25B",0.270053706790491,6.34861774952391,4.07504404283069,6.21367956453857e-05,0.000176735107337395,1.17242784564961,"CDC25B",3.75267717200738,"no_sig"
"IFNA1",-0.293990224515564,6.07923660687845,-4.07034513653249,6.33222818429619e-05,0.000179795909067063,1.15466524729784,"IFNA1",3.74522019408117,"no_sig"
"PDGFRB",0.310304809963741,6.18894366287408,4.06519560390801,6.4646185591506e-05,0.000183238498469717,1.13521973618858,"PDGFRB",3.73698327566581,"no_sig"
"DUSP4",-0.177701933954515,5.72293387354284,-4.06454438706034,6.48154736284977e-05,0.000183402131919536,1.13276215995714,"DUSP4",3.73659562027173,"no_sig"
